study_id;median_N;se_N;N;total_SNP;mean_beta;result_lin_reg;delta_prop;over_threshold;beta_PZ;se_beta_PZ;intercept_PZ;se_intercept_PZ
NEALE2_20003_1140884412;1.0000024811937716;0.08528266488581171;361141.0;10771018;-3.880281790958051e-05;Row(beta=0.999978244304657, beta_stderr=1.6046458606311376e-09, intercept=-1.888561484975071e-07, intercept_stderr=9.960255953345154e-10);0.005674535057552324;60228;0.999978244304657;1.6046458606311376e-09;-1.888561484975071e-07;9.960255953345154e-10
NEALE2_20003_1140884654;1.0;0.0872064931780766;361141.0;11426800;2.975803261535646e-05;Row(beta=0.9999783039093018, beta_stderr=1.5340018144627265e-09, intercept=-2.1619858614485565e-07, intercept_stderr=9.529643740791016e-10);0.005379171969977493;60461;0.9999783039093018;1.5340018144627265e-09;-2.1619858614485565e-07;9.529643740791016e-10
NEALE2_20003_1140884672;1.0000005520253397;0.08073491115287719;361141.0;7784122;0.0007093117307568322;Row(beta=0.9999865889549255, beta_stderr=7.620603703628603e-09, intercept=-3.697048668982461e-06, intercept_stderr=5.010659887005886e-09);0.007524721336920408;57710;0.9999865889549255;7.620603703628603e-09;-3.697048668982461e-06;5.010659887005886e-09
NEALE2_20003_1140884696;1.0000000408806293;0.08070330023104356;361141.0;7185658;0.00023457793664065742;Row(beta=0.9999781847000122, beta_stderr=1.7658822182298195e-09, intercept=-1.530053168607992e-07, intercept_stderr=1.084216716407127e-09);0.00798578646985177;56526;0.9999781847000122;1.7658822182298195e-09;-1.530053168607992e-07;1.084216716407127e-09
NEALE2_20003_1140888092;0.9999981224104935;0.08120182968357952;361141.0;8416048;0.0005213951422653776;Row(beta=0.9999781250953674, beta_stderr=1.792719306337176e-09, intercept=-1.4894290245592856e-07, intercept_stderr=1.1063645555253743e-09);0.007063879582976713;58590;0.9999781250953674;1.792719306337176e-09;-1.4894290245592856e-07;1.1063645555253743e-09
NEALE2_20003_1140888098;0.9999974263312525;0.08767531171848134;361141.0;11585452;-8.233689205282311e-05;Row(beta=0.999978244304657, beta_stderr=1.4910577217364107e-09, intercept=-1.9131017836571118e-07, intercept_stderr=9.24178622518923e-10);0.005312759684771224;60506;0.999978244304657;1.4910577217364107e-09;-1.9131017836571118e-07;9.24178622518923e-10
NEALE2_20003_1140888266;0.9999935244999667;0.09187804309383579;361141.0;13058804;-6.077686647530649e-05;Row(beta=0.9999901652336121, beta_stderr=1.212392941596363e-08, intercept=-5.380202310334425e-06, intercept_stderr=7.806583823821711e-09);0.00478893252439047;60908;0.9999901652336121;1.212392941596363e-08;-5.380202310334425e-06;7.806583823821711e-09
NEALE2_20003_1140888362;0.9999980232921183;0.08070198536349084;361141.0;7215351;-0.000960780652003342;Row(beta=0.9999780654907227, beta_stderr=1.7414379938074376e-09, intercept=-1.1674048749910071e-07, intercept_stderr=1.0670742067730998e-09);0.0079629672358748;56598;0.9999780654907227;1.7414379938074376e-09;-1.1674048749910071e-07;1.0670742067730998e-09
NEALE2_20003_1140888366;0.9999988088417384;0.08306015219230319;361141.0;9784128;0.0004689628121781218;Row(beta=0.999978244304657, beta_stderr=1.7088748194282743e-09, intercept=-1.877303645869688e-07, intercept_stderr=1.0665194283276946e-09);0.006196289709816082;59780;0.999978244304657;1.7088748194282743e-09;-1.877303645869688e-07;1.0665194283276946e-09
NEALE2_20003_1140888390;0.9999976731087895;0.08070935613270933;361141.0;7314890;-0.00036869766239710204;Row(beta=0.9999781847000122, beta_stderr=1.8038067706172e-09, intercept=-1.5258495977832354e-07, intercept_stderr=1.1072469607853463e-09);0.007882648306710666;56801;0.9999781847000122;1.8038067706172e-09;-1.5258495977832354e-07;1.1072469607853463e-09
NEALE2_20003_1140888512;0.9999994827558077;0.08071247695970821;361141.0;7328152;-0.00042354557407247234;Row(beta=0.9999781847000122, beta_stderr=1.7890797732178498e-09, intercept=-1.5202046199647157e-07, intercept_stderr=1.105981861648786e-09);0.00787097365828089;56820;0.9999781847000122;1.7890797732178498e-09;-1.5202046199647157e-07;1.105981861648786e-09
NEALE2_20003_1140888538;1.0000044365520566;0.0898063657487495;361141.0;12333083;-0.0003125554196021287;Row(beta=0.9999781847000122, beta_stderr=1.401551652513433e-09, intercept=-1.6176502981579688e-07, intercept_stderr=8.617990210346704e-10);0.005027403609622635;60719;0.9999781847000122;1.401551652513433e-09;-1.6176502981579688e-07;8.617990210346704e-10
NEALE2_20003_1140888556;1.0;0.08101234265083539;361141.0;7994757;0.00010382083775026718;Row(beta=0.9999783039093018, beta_stderr=1.880914091145769e-09, intercept=-2.0022767444061174e-07, intercept_stderr=1.1643870312383342e-09);0.007367803839712438;58040;0.9999783039093018;1.880914091145769e-09;-2.0022767444061174e-07;1.1643870312383342e-09
NEALE2_20003_1140888560;1.0000044549927631;0.09291186021915125;361141.0;13545732;-0.00014369140732908717;Row(beta=0.9999783635139465, beta_stderr=1.2879840527446618e-09, intercept=-2.2730334592324652e-07, intercept_stderr=8.134306561657922e-10);0.004649408709623466;60989;0.9999783635139465;1.2879840527446618e-09;-2.2730334592324652e-07;8.134306561657922e-10
NEALE2_20003_1140888570;0.9999969402392671;0.08342131115292341;361141.0;9941486;0.0005586023864985742;Row(beta=0.9999792575836182, beta_stderr=3.0394144978629356e-09, intercept=-6.151976208457199e-07, intercept_stderr=1.8992172279297392e-09);0.0061073223498985954;59869;0.9999792575836182;3.0394144978629356e-09;-6.151976208457199e-07;1.8992172279297392e-09
NEALE2_20003_1140888594;0.9999969142172538;0.08084070939298578;361141.0;7884652;-0.0005076750940944653;Row(beta=0.9999780654907227, beta_stderr=1.8188919259642944e-09, intercept=-1.1993724058356747e-07, intercept_stderr=1.1085681261846503e-09);0.007450155412162426;57878;0.9999780654907227;1.8188919259642944e-09;-1.1993724058356747e-07;1.1085681261846503e-09
NEALE2_20003_1140888646;1.0000035946331183;0.09109284695070524;361141.0;12765733;-6.099970460284672e-05;Row(beta=0.9999784231185913, beta_stderr=1.4042754736820484e-09, intercept=-2.6352290660724975e-07, intercept_stderr=8.904937343068298e-10);0.0048807020612097385;60838;0.9999784231185913;1.4042754736820484e-09;-2.6352290660724975e-07;8.904937343068298e-10
NEALE2_20003_1140888648;1.0000017071584735;0.0881240392882016;361141.0;11740763;-0.00014931402042705005;Row(beta=0.9999781847000122, beta_stderr=1.4499610401230711e-09, intercept=-1.694896951676128e-07, intercept_stderr=8.993107369903441e-10);0.00525039953498567;60555;0.9999781847000122;1.4499610401230711e-09;-1.694896951676128e-07;8.993107369903441e-10
NEALE2_20003_1140888688;0.9999982869109818;0.08564816644642796;361141.0;10906125;0.0007568751634550585;Row(beta=0.9999781250953674, beta_stderr=1.5330403613234012e-09, intercept=-1.4559590510998532e-07, intercept_stderr=9.479128593170572e-10);0.005610466168783828;60279;0.9999781250953674;1.5330403613234012e-09;-1.4559590510998532e-07;9.479128593170572e-10
NEALE2_20003_1140888762;0.9999978761284211;0.08105618378134705;361141.0;8156245;0.0004444625194417851;Row(beta=0.999978244304657, beta_stderr=1.8489600961402175e-09, intercept=-1.7269815089093754e-07, intercept_stderr=1.1402033761598318e-09);0.007248299000638769;58257;0.999978244304657;1.8489600961402175e-09;-1.7269815089093754e-07;1.1402033761598318e-09
NEALE2_20003_1140909368;0.9999980152761277;0.08125657299407878;361141.0;8469875;-0.0003173489116506352;Row(beta=0.9999783039093018, beta_stderr=1.8316390626438306e-09, intercept=-2.0562288227665704e-07, intercept_stderr=1.1441650960009042e-09);0.007026460817184557;58654;0.9999783039093018;1.8316390626438306e-09;-2.0562288227665704e-07;1.1441650960009042e-09
NEALE2_20003_1140909578;1.0000007813446299;0.0814319567373546;361141.0;8626035;5.9579217090424135e-05;Row(beta=0.9999783635139465, beta_stderr=1.8863626216614193e-09, intercept=-2.306307465005375e-07, intercept_stderr=1.171297281388206e-09);0.006919691610779579;58832;0.9999783635139465;1.8863626216614193e-09;-2.306307465005375e-07;1.171297281388206e-09
NEALE2_20003_1140909674;0.9999956735334098;0.093017787163448;361141.0;13592112;0.0002198587149297977;Row(beta=0.999978244304657, beta_stderr=1.3456348257889772e-09, intercept=-1.7935499840859848e-07, intercept_stderr=8.408809759608005e-10);0.0046403698174643316;60990;0.999978244304657;1.3456348257889772e-09;-1.7935499840859848e-07;8.408809759608005e-10
NEALE2_20003_1140909708;0.9999956642261544;0.09039787858722804;361141.0;12535319;0.0003180832002044221;Row(beta=0.9999783039093018, beta_stderr=1.3601696435827648e-09, intercept=-2.0162192981842963e-07, intercept_stderr=8.514438598616891e-10);0.004956469593315985;60766;0.9999783039093018;1.3601696435827648e-09;-2.0162192981842963e-07;8.514438598616891e-10
NEALE2_20003_1140909726;0.9999982192061739;0.09275537466338882;361141.0;13434369;2.394947203354965e-05;Row(beta=0.9999781847000122, beta_stderr=1.2687985107007194e-09, intercept=-1.641237332705714e-07, intercept_stderr=7.825531334049174e-10);0.004680303120550043;60976;0.9999781847000122;1.2687985107007194e-09;-1.641237332705714e-07;7.825531334049174e-10
NEALE2_20003_1140909786;0.9999948437853758;0.09141132300725309;361141.0;12880911;-0.0002168155353072529;Row(beta=0.9999794960021973, beta_stderr=2.148506927923677e-09, intercept=-6.940690582268871e-07, intercept_stderr=1.3593718373172692e-09);0.004844044588225173;60869;0.9999794960021973;2.148506927923677e-09;-6.940690582268871e-07;1.3593718373172692e-09
NEALE2_20003_1140909788;0.9999997241564837;0.08166917085435274;361141.0;8842353;0.0002773365564968275;Row(beta=0.999978244304657, beta_stderr=1.7843762023517229e-09, intercept=-1.868514658553977e-07, intercept_stderr=1.1001625166429108e-09);0.0067736142027453785;59040;0.999978244304657;1.7843762023517229e-09;-1.868514658553977e-07;1.1001625166429108e-09
NEALE2_20003_1140909806;0.9999962474059526;0.08662980080889626;361141.0;11229542;0.0003984645711374479;Row(beta=0.9999781847000122, beta_stderr=1.5139732800761863e-09, intercept=-1.5060032865221729e-07, intercept_stderr=9.280391455313008e-10);0.005463368524780124;60388;0.9999781847000122;1.5139732800761863e-09;-1.5060032865221729e-07;9.280391455313008e-10
NEALE2_20003_1140909936;0.999996999260787;0.08126175761998818;361141.0;8476239;0.00045576105909138495;Row(beta=0.9999783635139465, beta_stderr=1.876062860617367e-09, intercept=-2.2403872890208731e-07, intercept_stderr=1.1661551724273522e-09);0.007022019149220151;58661;0.9999783635139465;1.876062860617367e-09;-2.2403872890208731e-07;1.1661551724273522e-09
NEALE2_20003_1140909954;1.0000000377609328;0.0807032551848442;361141.0;7185658;-0.0006853714604101901;Row(beta=0.9999781250953674, beta_stderr=1.7456698309104013e-09, intercept=-1.4243818213799386e-07, intercept_stderr=1.0691540985874326e-09);0.00798578646985177;56526;0.9999781250953674;1.7456698309104013e-09;-1.4243818213799386e-07;1.0691540985874326e-09
NEALE2_20003_1140910494;1.0000007562565674;0.08153247656902973;361141.0;8737086;-0.0002905359586105243;Row(beta=0.9999783039093018, beta_stderr=1.8225321252174354e-09, intercept=-1.9459308475688886e-07, intercept_stderr=1.1130716348617398e-09);0.006845927783630735;58957;0.9999783039093018;1.8225321252174354e-09;-1.9459308475688886e-07;1.1130716348617398e-09
